# Frequency(cm-1)   Transmittance
1221.278139   0.847727
1224.474737   0.854697
1227.671336   0.861744
1230.867934   0.868791
1234.064532   0.875829
1237.261131   0.882878
1240.457729   0.889839
1243.654327   0.896776
1246.850925   0.903606
1250.047524   0.910323
1253.244122   0.916941
1256.440720   0.923365
1259.637319   0.929656
1262.833917   0.935735
1266.030515   0.941597
1269.227114   0.947256
1272.423712   0.952626
1275.620310   0.957771
1278.816908   0.962614
1282.013507   0.967162
1285.210105   0.971433
1288.406703   0.975350
1291.603302   0.978984
1294.799900   0.982269
1297.996498   0.985223
1301.193097   0.987869
1304.389695   0.990147
1307.586293   0.992136
1310.782891   0.993778
1313.979490   0.995107
1317.176088   0.996151
1320.372686   0.996864
1323.569285   0.997331
1326.765883   0.997505
1329.962481   0.997431
1333.159080   0.997138
1336.355678   0.996595
1339.552276   0.995887
1342.748874   0.994975
1345.945473   0.993908
1349.142071   0.992718
1352.338669   0.991378
1355.535268   0.989974
1358.731866   0.988467
1361.928464   0.986909
1365.125063   0.985328
1368.321661   0.983698
1371.518259   0.982103
1374.714857   0.980501
1377.911456   0.978942
1381.108054   0.977448
1384.304652   0.975993
1387.501251   0.974653
1390.697849   0.973382
1393.894447   0.972229
1397.091046   0.971203
1400.287644   0.970281
1403.484242   0.969527
1406.680840   0.968892
1409.877439   0.968418
1413.074037   0.968108
1416.270635   0.967935
1419.467234   0.967952
1422.663832   0.968107
1425.860430   0.968435
1429.057029   0.968929
1432.253627   0.969559
1435.450225   0.970369
1438.646823   0.971300
1441.843422   0.972380
1445.040020   0.973594
1448.236618   0.974906
1451.433217   0.976350
1454.629815   0.977861
1457.826413   0.979460
1461.023012   0.981121
1464.219610   0.982803
1467.416208   0.984531
1470.612806   0.986232
1473.809405   0.987921
1477.006003   0.989562
1480.202601   0.991110
1483.399200   0.992581
1486.595798   0.993897
1489.792396   0.995068
1492.988994   0.996052
1496.185593   0.996801
1499.382191   0.997327
1502.578789   0.997551
1505.775388   0.997482
1508.971986   0.997077
1512.168584   0.996295
1515.365183   0.995145
1518.561781   0.993558
1521.758379   0.991549
1524.954977   0.989082
1528.151576   0.986127
1531.348174   0.982705
1534.544772   0.978760
1537.741371   0.974322
1540.937969   0.969368
1544.134567   0.963891
1547.331166   0.957923
1550.527764   0.951430
